pcd0,pcd1,volume,addedVolume,removedVolume,surface,matchingPercent,averageNeighborsPerCell
res/point_clouds/dense_2021_08_17.ply,res/point_clouds/dense_2021_08_17.ply,-853.8291,534.6092,1388.4383,1862.0400,54.7,7.0
res/point_clouds/dense_2021_08_18.ply,res/point_clouds/dense_2021_08_18.ply,-816.3607,281.0655,1097.4262,2706.6399,71.3,7.3
res/point_clouds/dense_2021_08_19.ply,res/point_clouds/dense_2021_08_19.ply,-1045.1072,263.0056,1308.1128,3048.6799,75.5,7.4
res/point_clouds/dense_2021_08_20.ply,res/point_clouds/dense_2021_08_20.ply,-386.5832,348.4932,735.0764,2136.0400,62.0,7.0
res/point_clouds/dense_2021_08_21_ep_04.ply,res/point_clouds/dense_2021_08_21_ep_04.ply,-521.1266,429.9091,951.0357,2890.6799,74.8,7.3
res/point_clouds/dense_2021_08_22_ep_05.ply,res/point_clouds/dense_2021_08_22_ep_05.ply,-540.1403,782.3372,1322.4775,2657.6799,66.6,7.2
res/point_clouds/dense_2021_08_23_ep_06.ply,res/point_clouds/dense_2021_08_23_ep_06.ply,-969.3480,344.7934,1314.1414,2135.8400,65.6,7.1
res/point_clouds/dense_2021_08_24_ep_07.ply,res/point_clouds/dense_2021_08_24_ep_07.ply,-514.6098,275.8174,790.4272,3030.4399,80.5,7.4
res/point_clouds/dense_2021_08_25_ep_08.ply,res/point_clouds/dense_2021_08_25_ep_08.ply,-967.9042,304.3249,1272.2291,2761.6799,71.1,7.2
res/point_clouds/dense_2021_08_26_ep_09.ply,res/point_clouds/dense_2021_08_26_ep_09.ply,-770.3634,117.7529,888.1163,1977.8800,60.6,7.1
res/point_clouds/dense_2021_08_27_ep_10.ply,res/point_clouds/dense_2021_08_27_ep_10.ply,-1367.6991,392.4495,1760.1486,2454.7999,62.8,7.2
res/point_clouds/dense_2021_08_28_ep_11.ply,res/point_clouds/dense_2021_08_28_ep_11.ply,-1537.2384,276.5893,1813.8277,3083.7199,76.9,7.4
res/point_clouds/dense_2021_08_29_ep_12.ply,res/point_clouds/dense_2021_08_29_ep_12.ply,12.3361,368.3303,355.9942,1783.4000,52.7,7.0
res/point_clouds/dense_2021_08_30_ep_13.ply,res/point_clouds/dense_2021_08_30_ep_13.ply,-373.9033,424.6129,798.5162,2270.0799,63.8,7.0
res/point_clouds/dense_2021_08_31_ep_14.ply,res/point_clouds/dense_2021_08_31_ep_14.ply,-1002.5765,385.5167,1388.0932,2900.8799,73.6,7.3
res/point_clouds/dense_2021_09_01_ep_15.ply,res/point_clouds/dense_2021_09_01_ep_15.ply,-391.9995,317.1749,709.1744,2175.3200,53.4,7.1
res/point_clouds/dense_2021_09_02_ep_16.ply,res/point_clouds/dense_2021_09_02_ep_16.ply,47.5082,668.0622,620.5540,2190.0800,60.7,7.0
res/point_clouds/dense_2021_09_03_ep_17.ply,res/point_clouds/dense_2021_09_03_ep_17.ply,-198.4325,439.2334,637.6658,2761.4399,70.7,7.3
