pcd0,pcd1,volume,addedVolume,removedVolume,surface,matchingPercent,averageNeighborsPerCell
res/point_clouds/dense_2021_08_17.ply,res/point_clouds/dense_2021_08_20.ply,-1327.1837,2.0558,1329.2395,2537.7199,73.0,7.4
res/point_clouds/dense_2021_08_18.ply,res/point_clouds/dense_2021_08_21.ply,-782.1947,115.8676,898.0623,2762.3999,79.0,7.4
res/point_clouds/dense_2021_08_19.ply,res/point_clouds/dense_2021_08_22.ply,-1039.1605,16.8770,1056.0374,2772.6799,77.7,7.5
res/point_clouds/dense_2021_08_20.ply,res/point_clouds/dense_2021_08_23.ply,-1065.4569,5.6675,1071.1244,2508.2399,75.4,7.4
res/point_clouds/dense_2021_08_21.ply,res/point_clouds/dense_2021_08_24.ply,-936.9298,122.4104,1059.3402,2419.5999,72.7,7.4
res/point_clouds/dense_2021_08_22.ply,res/point_clouds/dense_2021_08_25.ply,-1511.3303,103.1734,1614.5037,2629.4799,77.3,7.4
res/point_clouds/dense_2021_08_23.ply,res/point_clouds/dense_2021_08_26.ply,-772.0195,17.4767,789.4962,2240.4399,74.6,7.3
res/point_clouds/dense_2021_08_24.ply,res/point_clouds/dense_2021_08_27.ply,-1061.1172,2.6703,1063.7876,2483.3199,73.7,7.4
res/point_clouds/dense_2021_08_25.ply,res/point_clouds/dense_2021_08_28.ply,-302.3424,94.9086,397.2510,2827.4799,82.2,7.5
res/point_clouds/dense_2021_08_26.ply,res/point_clouds/dense_2021_08_29.ply,-362.5489,181.8183,544.3672,2227.0800,65.9,7.3
res/point_clouds/dense_2021_08_27.ply,res/point_clouds/dense_2021_08_30.ply,-559.2332,95.6468,654.8801,2734.0799,78.5,7.4
res/point_clouds/dense_2021_08_28.ply,res/point_clouds/dense_2021_08_31.ply,-768.5538,62.6868,831.2407,3027.5999,84.7,7.5
res/point_clouds/dense_2021_08_29.ply,res/point_clouds/dense_2021_09_01.ply,-639.4196,20.0676,659.4872,2512.9199,75.6,7.4
