Label,X,Y,Z
F1BIS,53.240100,163.044900,78.296000
F2,49.648800,192.087500,71.746600
TAB 2,-499.833700,402.137400,240.206800
TAB 3,-302.800100,442.960800,221.819900
F3,-15.554900,315.317100,117.346200
F4,41.559600,274.765100,92.025200
10,-117.042700,211.254300,128.163900
11,-194.742600,287.704500,150.115100
12,-47.126600,257.753400,119.074900
13,-21.954400,227.595600,95.207000
15,-19.529100,238.100600,96.610800
16,8.276800,244.675000,80.663200
17,-6.829600,285.013000,98.518000
19,-141.935600,324.251200,141.521500
