#x0,y0,x1,y1
1397.1839,3710.2215,3452.0366,3646.9587
1397.9015,3709.8402,3452.1168,3646.6788
1398.9432,3709.9002,3452.6966,3645.4364
1399.1639,3710.4299,3452.9365,3645.6363
1399.1339,3711.2110,3452.6912,3645.6910
1406.6618,3720.2138,3459.5242,3655.3626
1407.0809,3719.1820,3460.0249,3654.2265
1406.9755,3719.5297,3459.0597,3655.0178
1406.9911,3719.5258,3460.3403,3655.6420
1404.1955,3719.3645,3459.1794,3656.2365
1406.6139,3719.8591,3459.7570,3655.3371
1406.2626,3720.2506,3460.4018,3655.3559
1406.9732,3720.0969,3459.7238,3655.3534
1406.2242,3720.5461,3460.0184,3655.1375
1405.7473,3720.6958,3459.6480,3654.8592
1405.5372,3720.9864,3459.9694,3655.7218
1404.8691,3721.1486,3459.2254,3655.9275
1404.5697,3720.8759,3459.6257,3656.1670
1407.0659,3720.6687,3459.3063,3654.9111
1406.1728,3720.6664,3458.7934,3656.6788
1403.9081,3720.8155,3459.6924,3655.9542
