,Label,E,N,h
0,F1BIS,416537.1893345114,5091085.559993443,1845.7602105660228
1,F2,416514.1231708512,5091103.540973581,1839.2077891290714
2,TAB 2,415977.37021617376,5090863.577180296,2007.5582527351323
3,TAB 3,416087.73541312973,5091031.69630602,1989.161165373281
4,F3,416380.93807360757,5091144.5308861155,1884.7577932182203
5,F4,416449.9623319751,5091156.245306202,1859.456741815566
6,10,416382.78678710415,5090999.26539663,1895.5992770299392
7,11,416273.8422412523,5090998.363941367,1917.5251216657898
8,12,416399.3202116963,5091081.540713535,1886.5006154351715
9,13,416438.4271313485,5091078.02058119,1862.6511909292472
10,15,416432.7149129361,5091087.157860865,1864.0516687529512
11,16,416447.71672592533,5091111.455233145,1848.1096229398934
12,17,416408.52673433354,5091129.282518217,1865.946277810556
13,19,416285.3217570103,5091061.513225785,1908.9248231415138
