feature_id,x,y
0,1418.0,2475.0
1,1567.0,3020.0
2,1090.0,2832.0
3,1075.0,2598.0
4,1006.0,2682.0
5,1462.0,3000.0
6,1171.0,2608.0
7,1084.0,2816.0
8,1403.0,2684.0
9,1047.0,2826.0
10,968.0,2649.0
11,1006.0,2682.0
12,1568.0,3020.0
13,1442.0,2850.0
14,1090.0,2832.0
15,1462.0,3000.0
16,1208.0,2833.0
17,2263.0,2464.0
18,1461.0,2699.0
19,1965.0,2739.0
20,1755.0,2431.0
21,2096.0,2739.0
22,1208.0,2833.0
23,2046.0,2932.0
24,2197.0,2502.0
25,1442.0,2850.0
26,2077.0,2579.0
27,1567.0,3020.0
28,1930.0,2595.0
29,1766.0,2623.0
30,2195.0,2524.0
31,1023.0,2999.0
32,2252.0,2487.0
33,1231.0,2814.0
34,1869.0,2602.0
35,2075.0,2858.0
36,1674.0,2617.0
37,1131.0,2833.0
38,2316.0,2500.0
39,1188.0,2875.0
40,2361.0,2892.0
41,1487.0,2592.0
42,1462.0,3000.0
43,1747.0,2630.0
44,2047.0,2877.0
45,1508.0,2655.0
46,1865.0,2415.0
47,2264.0,2741.0
48,1240.0,2779.0
49,1518.0,2917.0
50,2007.0,2885.0
51,1359.0,2950.0
52,1156.0,2849.0
53,1539.0,2604.0
54,1873.0,2724.0
55,2107.0,2912.0
56,2328.0,2744.0
57,1341.0,2724.0
58,1564.0,2620.0
59,1519.0,2836.0
60,1552.0,2605.0
61,1517.0,2603.0
62,1442.0,2850.0
63,1965.0,2739.0
64,1461.0,2699.0
65,1698.0,2620.0
66,1766.0,2623.0
67,1217.0,2831.0
68,2064.0,2758.0
69,2046.0,2932.0
70,1298.0,2810.0
71,1552.0,2593.0
72,1568.0,3020.0
73,2361.0,2892.0
74,1930.0,2595.0
75,1394.0,2635.0
76,2075.0,2858.0
77,1240.0,2779.0
78,1674.0,2617.0
79,2810.0,3040.0
80,2718.0,3190.0
81,3249.0,2981.0
82,3186.0,2922.0
83,2678.0,3048.0
84,2757.0,3211.0
85,2492.0,3082.0
86,2905.0,3015.0
87,3456.0,2567.0
88,3241.0,2857.0
89,3204.0,2921.0
90,2678.0,2790.0
91,2692.0,3195.0
92,2388.0,2965.0
93,2706.0,3210.0
94,3181.0,2911.0
95,3245.0,2825.0
96,2464.0,3062.0
97,3431.0,2734.0
98,3516.0,2789.0
99,2764.0,3147.0
100,3205.0,2881.0
101,3144.0,2211.0
102,2683.0,2764.0
103,2380.0,2882.0
104,2968.0,3189.0
105,2787.0,3228.0
106,2758.0,3261.0
107,3239.0,2797.0
108,2549.0,3026.0
109,2632.0,2646.0
110,2583.0,2945.0
111,2480.0,3072.0
112,3435.0,2441.0
113,3483.0,2551.0
114,3227.0,2718.0
115,2361.0,2892.0
116,2627.0,2761.0
117,2803.0,3206.0
118,3219.0,2884.0
119,2653.0,2805.0
120,2712.0,2516.0
121,2407.0,3011.0
122,2970.0,2970.0
123,2420.0,3021.0
124,3423.0,2461.0
125,2859.0,3002.0
126,3244.0,2836.0
127,2516.0,2782.0
128,3434.0,2668.0
129,2631.0,2842.0
130,2512.0,2879.0
131,2644.0,2840.0
132,2739.0,2790.0
133,3294.0,2843.0
134,3375.0,2991.0
135,2718.0,2847.0
136,2804.0,3082.0
137,2702.0,2609.0
138,2481.0,3034.0
139,2721.0,2649.0
140,3492.0,2778.0
141,3118.0,2771.0
142,3479.0,2823.0
143,2848.0,2807.0
144,2764.0,3193.0
145,2983.0,3009.0
146,3498.0,2734.0
147,3239.0,2797.0
148,2718.0,3190.0
149,3241.0,2857.0
150,3186.0,2922.0
151,3181.0,2911.0
152,2394.0,3748.0
153,2905.0,3015.0
154,2706.0,3210.0
155,3204.0,2921.0
156,2464.0,3062.0
157,2757.0,3211.0
158,2684.0,3452.0
159,3206.0,2881.0
160,2678.0,3048.0
161,2764.0,3147.0
162,2480.0,3072.0
163,2691.0,3195.0
164,2834.0,3666.0
165,2482.0,3034.0
166,2552.0,3487.0
167,2361.0,2892.0
168,2407.0,3011.0
169,2627.0,2762.0
170,2653.0,2805.0
171,2970.0,2970.0
172,2803.0,3206.0
173,2631.0,2646.0
174,4452.0,2333.0
175,3835.0,2884.0
176,4066.0,2708.0
177,4444.0,2676.0
